Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-1-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-2-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-3-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-4-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F7.mzML
A0A0C4DFM0	A0A0C4DFM0		GSTZ1		204665	612088	372147	198917	188982	372620	1.2448e+07	136661	135718	1.3717e+07	1.44541e+07	1.00351e+07		6.17055e+06	122982	569052		9.79583e+06		7.99002e+06		111195	3.81336e+06	93088.4		419877	4.91514e+06	9.04728e+06	170246	605650	4.3308e+06	202190	167825			9.04737e+06		444631		966880		435659	4.14633e+06	4.53862e+06				1.09099e+06			141827	270819		2.84804e+07				2.73285e+08
A0A0C4DFV2	A0A0C4DFV2		LSM14B								1.11627e+06			1.26392e+06	1.94459e+06	1.59145e+06		1.27915e+06																																												
A0A0C4DG44	A0A0C4DG44		HTRA2		370437	221508		251347	303056	296777		186931	149696	2.44782e+06	1.06684e+06	3.08304e+06	112175	1.5736e+06	53103.9	346976	169012	1.10104e+07	51235.9			143281	3.72782e+06	87376.5	118690	298389	6.07901e+06		233986	655562	6.08018e+06	192230	123049	157998	109013		197118	169928	172887	416260		230854	4.39584e+06	4.04648e+06			112390	251837			343803	940209						2.84722e+08
A0A0C4DG68	A0A0C4DG68		PUM2							107207		119589	150511						139564		151761		141610			92988.9		183591					112429				162766	123569	39196.4					121211					145446	219202	118339	112080			105520							
A0A0C4DG89	A0A0C4DG89		DDX46		732713	684352	792053	548903	561125	425091		500494	488551				254426		228211		486379		315990			305565	283464	281962	200903	297835			565593	571274		318010	376972	324942	119655			185933	63392.2	99833.3		103284			287640	286657	267086	38535.7			173265	311059						
A0A0C4DGB9	A0A0C4DGB9		PPA2		287441		211060				8.68178e+06			6.81257e+06	7.58547e+06	5.49748e+06		3.21695e+06		153816		548677		5.53808e+07	4.41613e+07		1.2233e+06			176740	1.01707e+06	4.44824e+07		307915	1.31556e+06					2.54793e+07		145932			7.70915e+06	194429	895620	1.07566e+06				220927	1.70226e+07	1.84621e+07	205664	225370	1.36466e+07	8.95003e+06	1.45608e+07			
A0A0C4DGQ5	A0A0C4DGQ5		CAPNS1		2.64776e+06	2.48342e+06	1.78497e+06	2.67754e+06	2.36285e+06	3.07653e+06	2.72596e+07	2.5359e+06	2.60432e+06	2.27631e+07	3.59694e+07	1.49244e+07	4.05862e+06	7.08363e+06	2.70492e+06	1.00277e+07	2.42665e+06	1.88315e+07	2.46552e+06			2.59984e+06	1.50787e+07	2.91013e+06	3.81026e+06	1.16872e+07	1.7343e+07	6.7645e+06	3.30894e+06	1.02245e+07	1.88822e+07	1.00873e+07	2.79055e+06	2.44392e+06	3.71019e+06	1.13407e+08	4.95067e+06	9.34482e+06	4.54197e+06	3.65739e+06		1.25258e+07	1.85947e+07	2.09039e+07	3.06859e+06	2.69798e+06	2.65106e+06	4.25301e+06	1.97198e+07		4.36942e+06	4.40471e+06	1.65439e+07			8.19562e+07		8.62081e+08
A0A0C4DGV1	A0A0C4DGV1		MYEF2		646789	559782		372555	528400	371072		310842	492363						393695		378447		356950			302151		462934					405166				565461	279284											224801	220466	318771											
A0A0D9SFM0	A0A0D9SFM0		SHPRH		715508	829517	496732	958107	809097	885762		1.12197e+06	713770						242431		857698		345676			784567		421181					871345				796865												414449	817518	444939											
A0A0D9SFW8	A0A0D9SFW8		HLA-F								144150					160110		166150																																												
A0A0D9SGF6	A0A0D9SGF6		SPTAN1		117146	112108	67606.9	86715.3	96706.6	68552.9		92551.6	61955				118460		67853.3		53191.6		69925.6			49551.1		56695.9	91325.1				41690.1			20305.5	60385	87475	107186		68553		75110.2						35407.2													
A0A0G2JIW1	A0A0G2JIW1		HSPA1B		3.91215e+07	3.03427e+07	4.12197e+07	3.44193e+07	3.0807e+07	3.04699e+07	5.73265e+06	2.4749e+07	2.08728e+07	6.87178e+06	5.00708e+06	5.36516e+06	1.4277e+08	3.71183e+06	2.34213e+07	1.05735e+08	1.7428e+07	3.85305e+07	2.8849e+07	6.86881e+08		2.60346e+07	3.4126e+07	2.15881e+07	1.58564e+08	8.733e+07	3.30019e+07		3.0832e+07	8.18433e+07	3.10612e+07	1.73178e+08	2.1966e+07	3.30789e+07	9.60175e+07		1.91274e+08	1.34653e+08	1.4856e+08	1.80095e+08	4.78348e+06	8.60008e+07	3.08646e+07	3.16604e+07	2.66823e+07	2.09471e+07	1.94429e+07	1.77074e+08			1.81409e+08	1.76249e+08						2.02813e+09
A0A0G2JJL1	A0A0G2JJL1		WDR46		848100	721127	794639	670025	608325	406119		719141	404086						260195		583588		234445			523980		207464					445478				559079	103564						869502						339335	372818	719621			662263	564935						
A0A0G2JMB2	A0A0G2JMB2		IGHA2																		58249.2	592071	29319.5			116139								60489.7				29232.3											86259.2		82970.9											
A0A0G2JPP5	A0A0G2JPP5		SCRIB		4.21071e+06	3.95594e+06	3.95214e+06	4.38659e+06	4.328e+06	3.97072e+06		4.36126e+06	3.3092e+06				769482		1.71057e+06	432372	3.52395e+06		1.75921e+06			3.67873e+06		1.9426e+06	720986	549513	340526		3.18268e+06	775586		434567	2.50376e+06	1.59942e+06	1.07422e+06		577788	550826	931908	1.39115e+06		637660			1.81063e+06	2.71287e+06	2.21164e+06	1.4893e+06			1.50839e+06	1.65411e+06						
A0A0R4J2F3	A0A0R4J2F3		POLR1D		1.16547e+06	1.00065e+06	723235	1.04894e+06	1.07851e+06	950704		1.03187e+06	1.09586e+06						758855		1.06208e+06		842039			1.13964e+06		829084	242730				891744				1.01811e+06	699899	251650				239391	983861					854952	1.17942e+06	961053	1.16633e+06			1.22168e+06	1.25513e+06	8.20092e+06		1.35543e+07			
A0A0U1RQF0	A0A0U1RQF0		FASN		555880	1.4308e+06	989949		890809	1.36375e+06		1.03719e+06	1.49433e+06				2.02239e+06		3.85747e+06		1.35853e+06		4.79209e+06			1.33552e+06		3.90576e+06					1.77893e+06				2.68781e+06	6.26429e+06	5.29766e+06				2.43148e+06	357590						2.18038e+06	2.56652e+06	172239										
A0A0U1RQL9	A0A0U1RQL9		ERVK3-1				198903																			65522.2							110857				178103							417716						37268.6	59693.7	249965			270527	227607						
A0A0U1RRE5	A0A0U1RRE5		NBDY							216660	1.27222e+06			713772	1.62879e+06	692306		950843						1.43259e+07	2.17127e+07		47811.7					1.35886e+07								1.06191e+07				540670	1.52332e+07		102602					471392	1.82909e+07	1.30906e+07	496961	383660	2.25225e+07	2.55764e+07	1.8367e+07	4.68431e+07	4.77943e+07	
A0A0U1RRM6	A0A0U1RRM6		ENAH								2.60254e+06			2.21088e+06	2.7514e+06	1.99384e+06		1.84309e+06		38327.9		599621		8.58826e+06	6.31049e+06		142574				301337	6.71989e+06			307402					7.45946e+06							336007	290777									8.66717e+06	1.27045e+07				
A0A140T8Y5	A0A140T8Y5		DHX16					493142	716607	541520		807882	1.08406e+06						756309		1.06362e+06		665323			1.18374e+06	695053	790342	518152		639802		857288		718287		1.12183e+06										813044	741548	582284	1.11412e+06	1.01148e+06											
A0A140T913	A0A140T913		HLA-A		2.2374e+06	1.91654e+06	1.78523e+06	1.82171e+06	2.17638e+06	1.79751e+06	3.32296e+06	1.66145e+06	1.45385e+06	3.64923e+06	3.76274e+06	4.96206e+06	1.14728e+06	3.51871e+06	1.32414e+06	3.79522e+06	1.53467e+06	9.0877e+06	1.31929e+06			1.72759e+06	6.95149e+06	1.47295e+06	1.1101e+06	3.14713e+06	6.92485e+06		1.87612e+06	3.99812e+06	7.32519e+06	1.93542e+06	1.65657e+06	1.28461e+06	1.18473e+06		1.33552e+06	2.51281e+06	940061	9.19281e+06		2.9982e+06	7.89539e+06	6.36116e+06	1.28763e+06	1.62243e+06	1.59513e+06	8.83873e+06			7.67097e+06	8.13519e+06						
A0A140T921	A0A140T921		HLA-C			140103	345908	269397	322490	260637		253909	177593				94077.1	563080	225128	145394	166699	624128	165875			203760	530867	231727	90112.1	195028	547053		197558	340707	468567	111552	165999	206074	192861		127431	176146	88402	1.62138e+06		268523	633351	563805	276631	297990	321566	1.44953e+06			1.51307e+06	1.20656e+06						
A0A140T941	A0A140T941		HLA-A								1.06463e+06			811275	1.17633e+06	1.51126e+06		957867		248945		1.47938e+06					1.34032e+06		75956.6		1.37669e+06			588799	1.08612e+06	120708						252324					1.3027e+06	1.55356e+06														
A0A140T9M0	A0A140T9M0		HLA-C																																									276108								246521			231426	347775						
A0A182DWI3	A0A182DWI3		TXNRD1								553355			482027	351167	388587		345172																																												
A0A1B0GTG2	A0A1B0GTG2		ALDH7A1		3.1623e+06	1.38706e+06	2.86705e+06	1.79811e+06	1.902e+06	1.92967e+06	2.76918e+07	1.41522e+06	927856	2.94084e+07	2.79197e+07	4.4278e+07	508783	2.63006e+07	539509	1.7336e+06	743480	9.27938e+07	489153	9.93135e+06	7.45712e+07	1.06728e+06	5.13158e+07	654507	762619	1.41218e+06	7.20667e+07		1.31378e+06	2.65763e+06	7.53719e+07	1.06532e+06	695521	450790	571808	2.21013e+07	787259	1.22413e+06	701366	4.14109e+06		1.81009e+06	7.98998e+07	6.54166e+07	377709	709782	603736	3.74549e+06	3.39356e+07		4.28239e+06	4.50028e+06	5.64049e+07	9.29248e+07		1.20259e+08	2.05258e+08	2.10721e+09
A0A1B0GTL5	A0A1B0GTL5		RAB11FIP5																																									95836.6								86438.9			76690	55013.8						
A0A1B0GTP9	A0A1B0GTP9		STXBP1		390509	303036	518505	369463	363406	283271		311764	245671						144644		214530		177983			286315		188677					327681				188940	245935	143527				186457	437897					212787	172744	134325	415126			378065	450932						
A0A1B0GTW6	A0A1B0GTW6		EPB41L1			97474.8				113867			163246				107121		191726		115845		211658			165181	388750	198981	139775				122540		474980	90416.7	169716	253769	173218		114925		117045	187292					216059	167734	178887	193698			196802	235498						
A0A1B0GU12	A0A1B0GU12		ATP6AP2		186996	313924	125281	238034	284817	254356		260481	229062				182722		251957	293995	219023		230174			269362		261942	169231	378954			272640	369352		211804	258088	209336	214042		231048	333573	195297	246434		319183			253657	281103	343067	249550			363076	540198						
A0A1B0GU97	A0A1B0GU97		NFIB		1.53569e+06	1.42341e+06	1.33405e+06	1.50073e+06	1.61306e+06	1.20079e+06		1.22881e+06	1.52577e+06				191435		1.06021e+06		1.57024e+06		1.00261e+06			1.74956e+06		1.15839e+06					1.13404e+06				1.37891e+06	753854	202547				128758			63962.1			961089	1.32708e+06	1.37108e+06				249451							
A0A1B0GVL4	A0A1B0GVL4		FAM193A			144678	247727	262512	193397	227722		185705	106240						49013.6		151804		62388.5			169807		68681					125011				93027	40336.6						64038.9					52307.9	77050.8	76528.1											
A0A1C7CYX9	A0A1C7CYX9		DPYSL2		1.2599e+06	895476	1.15994e+06	725612	920670	822187	1.48503e+06	600951	464724	310577		1.58446e+06	1.519e+06	1.61728e+06	870913	1.26597e+06	468659	7.5454e+06	880925	6.57665e+07		585183	5.07713e+06	703944	1.32019e+06	1.20356e+06	5.70678e+06		640085	1.85001e+06	5.18854e+06	956339	397500	961844	1.78219e+06		1.70441e+06	1.07691e+06	1.47838e+06	3.75373e+06		1.32393e+06	5.36014e+06	4.81242e+06	804216	407409	425589	3.57743e+06			3.2597e+06	3.34394e+06						1.45667e+08
A0A1W2PQS6	A0A1W2PQS6		RPS10-NUDT3			231135		266409	256552	227716	9.70696e+06	286842	156304	9.90769e+06	7.22254e+06	9.98221e+06		8.77056e+06	134759	165942	273942	8.42848e+06	153364			242566	3.13933e+06	169594		206349	4.71523e+06		353236	414843	5.15269e+06	199365	237332						138705	1.1149e+06			4.53763e+06	3.36425e+06				1.14637e+06			646791	771322						
A0A2R2Y2Q3	A0A2R2Y2Q3		TPM3		4.23156e+06	2.63984e+06	6.02206e+06	5.24259e+06	5.06417e+06	4.89258e+06	1.61697e+06	3.46916e+06	1.6043e+06	2.02735e+06	2.21031e+06	2.34047e+06	5.7649e+06	1.90846e+06	991187	576474	1.42086e+06	770615	1.0507e+06			1.09023e+06	509185	733151	3.30415e+06	291005	1.33885e+06		2.77013e+06	262053	909180	342514	1.62533e+06	2.23534e+06	4.7207e+06		2.0285e+06	407022	4.33837e+06	2.36285e+06		466011	1.99906e+06	327488	883561	594947	695434	1.90806e+06			2.0119e+06	664357						
A0A2R8Y4P4	A0A2R8Y4P4		SMARCA4		1.92106e+06	2.364e+06	1.67266e+06	2.18927e+06	2.17346e+06	2.05493e+06		2.38119e+06	2.2274e+06				218020		1.3307e+06		2.45665e+06	1.25826e+06	1.48265e+06			2.40845e+06	263094	1.58636e+06	131338		506442		1.88125e+06		529711	145571	2.18761e+06	1.12869e+06	224975			143222		887865			643279		1.32489e+06	2.2247e+06	1.77163e+06	810644			791832	805322						
A0A2R8Y4Z8	A0A2R8Y4Z8		CCDC9									366292					346341		197812							233471			351184	462521				357760		403249	227240		315488		543380		243620							339852												
A0A2R8Y521	A0A2R8Y521		CHD4		6.00873e+06	5.51505e+06	5.69123e+06	5.78314e+06	5.55844e+06	5.50946e+06	458278	5.66586e+06	5.16663e+06				503472		2.84626e+06	201187	5.15271e+06	108500	2.92287e+06	1.25508e+07	2.9478e+07	5.51141e+06	222158	3.11911e+06	420729	191513	154383	1.61958e+07	4.43575e+06	211731	93658.5	199157	4.577e+06	2.12989e+06	571011	1.91668e+07	306084	173915	436684	2.45579e+06		173946	365630	369833	2.56309e+06	4.52363e+06	3.55246e+06	2.04021e+06			2.08121e+06	2.25548e+06						4.10631e+07
A0A2R8Y5E4	A0A2R8Y5E4		BCAR1			355150	347722	377628	491086	371201		426663	323411			402103	154276	224701	208324	70725.1	373173		325979			338643	92313	231571	229184	53453.1	113054		396194	139808	60761.6	86099.8	237712	185424	175399		245322	97890.1	108181	390283		93223.2	72112.4	77898.2	100437	135507	140334	214194			364802	300717		2.54667e+06				
A0A2R8Y623	A0A2R8Y623		RPS7		925942	350336	1.15251e+06	614214	548318			547342						862015								493395							451912																													
A0A2R8Y651	A0A2R8Y651		GIPC3			32501.1		34767.2	46356.3	54713		20700.7	40287.7				23548.6		50741		66710.3		118510					87130.5	31102.3				51009.4				82058.3	80065.4	59483.7										103687													
A0A2R8Y6I6	A0A2R8Y6I6		DYRK1A		726436	777487	545786	694198	615408	717863		756840	675241				279134		412373	247500	579439		387786			819973		457614	344119				610329			255807	585267	417304	403448		318442		425190	182722		117262			348933	682440	683823											
A0A2R8Y783	A0A2R8Y783		EPB41			112021	147272	203248	201562	181403		126432	151025				333026		337176	140964	165957		322542			112735		270367	285319	171003			175500	136051		159299	176756	341055	423030		233268	141369	291524			150527			261116	144790	185213											
A0A2R8Y7Q1	A0A2R8Y7Q1		BPTF		969184	777447	856997	788690	871659	705791	4.37921e+06	827071	755898		4.05235e+06	3.43042e+06	262692	3.86731e+06	566816		902910		662525			870002		524417					831793				723836	576629	236594				133211	1.05456e+06					637479	722523	646168	490228			997823	319837						
A0A2R8Y7S1	A0A2R8Y7S1		SLC4A11		263069	186407	332407	327896	220833	245494		213636	191970				46163.2		160528		284837		338954			219372		139375					223404				194411	297701	83043.7		68456.8		140961						248828	325400	278820											
A0A2R8Y7W8	A0A2R8Y7W8		MEA1		700424		761470	890822	917847	588186		656522					1.37208e+06		193704	2.25246e+06						477119	329973		1.56837e+06	1.55362e+06				1.46736e+06	273050	1.92318e+06		266676	849541		2.77843e+06	1.67677e+06	1.04248e+06	1.27077e+06		1.56862e+06			230075		271094	965274			991322	915185						
A0A2R8Y7Y3	A0A2R8Y7Y3		EPB41			393600		397762	319968	412634		317075	505025				615773		636421		472997	522607	612707		3.24605e+06	401901		606437	558456	257545		5.41743e+06	460164			265270	532190	642823	748585		447672	84298	600138	761108	1.46389e+07				594958	425488	507141	622286	1.83533e+07	1.66117e+07	746152	490102						
A0A2R8Y852	A0A2R8Y852		CUX1			203098	256385	152242		143621							217367		176455	137133	136088		141841			142993		89156.7	185942	262954			141038	249111		164436		134150	193023		115542	154033	131959	96535.6		144517						121724				98049.6						
A0A2R8YEA7	A0A2R8YEA7		ACTB		3.21627e+06	1.72733e+06	6.74701e+06	1.86197e+06	2.05296e+06	2.3702e+06		1.74757e+06	953489				700750	318280	698133	348350	655609		377399			934177	501174	325897	540235	247371	713688	3.95566e+06	1.36516e+06	478537	339615	268013	1.12929e+06	450392	1.54407e+06		826310	435783	571909	754836		229231		398659	1.08862e+06	655946	473491	1.17895e+06		6.56472e+06	690338	999763	2.38374e+06			2.27078e+07		1.52601e+08
A0A2R8YEM5	A0A2R8YEM5		ENO1		2.23437e+06	376174		488855		418632	4.90316e+06	355679		2.36361e+06	1.16723e+06		398728	1.13027e+06			278493	1.5535e+07				271730	1.08811e+07		538962	3.39866e+06	1.1205e+07		611123	5.66896e+06	3.79444e+06	929436	252368	368251			944765	1.47081e+06		105555		1.69925e+06	6.29628e+06	3.68221e+06			220840				263614							5.65894e+07
A0A2R8YF49	A0A2R8YF49		ARHGEF5			219127	617608	337697	292715	218173		289241	213719				386199		216370	144162	240106		197535			242145		200159	273200	47063.7			390075			183869	222108	329466	481528		390737		386182	292231					321612	251789					241150							
A0A2R8YFW3	A0A2R8YFW3		TBL1X		569615	240801	446852	440960	350448	684124		346052	434584	5.5863e+06	8.44975e+06	3.88116e+06	1.87692e+06	2.42095e+06	727455	112763	448010	802068	735673			433518	537014	615790	1.26629e+06	45150.4	1.19164e+06		447998		794616	296914	598223	962255	2.68993e+06		1.21082e+06	163576	1.63445e+06	211778		152421	1.26053e+06	800872	577978	545538	652841	144743			176329	241223						5.08449e+07
A0A2R8YHD2	A0A2R8YHD2		TPM4					187891									247653																						258023					645328								878919			769042	789729						
A0A2U3TZL8	A0A2U3TZL8		KIF23		1.09785e+06	789261	1.08237e+06	712334	664034	620208		815228	659618				64682		444314	176983	742435	1.23456e+06	435871			703201	841181	456443		137444	1.02569e+06		612349	171406	1.07882e+06	144463	624638	304237	113423			157919	79834.5	439352		186880	921383	848332	409755	615563	521606	182337			207536	626127						
A0A3B3IRI3	A0A3B3IRI3		TJP2		1.11267e+06	844912	943492	956684	1.10329e+06	935856	1.0605e+06	910411	970248	1.2146e+06	946791	951267	172415	1.1738e+06	630003		941252	589038	703670	2.78215e+06		936799	248285	724463	179139	204497	183312	2.86283e+06	780099		264412	229935	774159	677478	177553	4.57481e+06	34606.2	99836.8	153385	399160	9.11215e+06		231972	67415.3	596040	790567	686280	421039	8.85239e+06	8.925e+06	350628	276087						
A0A3B3IRQ9	A0A3B3IRQ9		ADAR		5.55507e+06	4.37403e+06	6.13716e+06	4.50257e+06	4.70507e+06	4.39385e+06	9.14412e+06	4.39837e+06	3.65342e+06	9.00484e+06	8.58796e+06	8.35179e+06	485133	5.96212e+06	2.44347e+06	395634	3.87978e+06	1.11729e+06	2.68277e+06	2.40708e+07		3.7629e+06	657448	2.8776e+06	597271	544790	505560	2.78476e+07	3.40218e+06	1.06293e+06	732857	390322	3.60813e+06	2.32952e+06	763225	3.05081e+07	362549	312895	678028	3.55168e+06	3.1622e+07	447216	705221	781908	2.54406e+06	3.60881e+06	3.29732e+06	3.24008e+06	3.13718e+07	4.11527e+07	3.74445e+06	3.66517e+06	5.62537e+07		1.74363e+07			
A0A3B3ISE6	A0A3B3ISE6		KDM5B		123645		134826	80349.5		79350.1			124545													45085.9							113093				202604													205964												
A0A3B3ISG5	A0A3B3ISG5		IDE		3.00277e+06	1.25494e+06	1.90305e+06	996449	1.2127e+06	1.19361e+06		1.04514e+06	1.08912e+06				6.17555e+06	3.6402e+07	1.68074e+06	1.44681e+06	859744		1.69869e+06			1.17936e+06	535930	1.26098e+06	6.11865e+06	1.37872e+06			1.32538e+06	1.17147e+06		2.94148e+06	1.16393e+06	2.05886e+06	6.24991e+06		5.47894e+06	2.02257e+06	6.12672e+06	2.00818e+06		1.4974e+06	267221	329550	1.5892e+06	1.1136e+06	1.38362e+06	1.80031e+06			2.1441e+06	1.94684e+06						
A0A3B3ISV4	A0A3B3ISV4		VKORC1L1								1.65034e+06			1.18705e+06	1.29871e+06	1.19579e+06	97919.4	1.47033e+06	93837	103321		650915	81677.4				298803	95457.8	52360.3	111512	568858			97347.4	637709	179881	90326.1	72921.3	106653		250512	178758	113233	382980		176365	594894	550940	102188	155261		472631			440916	292175						5.32801e+07
A0A3B3ITT1	A0A3B3ITT1		RAB12		660121	456951	851731	552640	546039	421605	1.16771e+07	489063	593409	1.09112e+07	9.58852e+06	9.30411e+06	610377	1.05311e+07	554624	786364	477434	3.13798e+06	564559	1.0734e+07	2.41796e+07	451630	2.03322e+06	496784	514365	702522	2.21518e+06	1.28911e+07	370809	802268	3.01836e+06	501070	305447	482926	451080	2.15176e+07	598072	678303	619398	201460	2.95766e+07	601025	2.7942e+06	2.16162e+06	487946	366488	392667	206233	2.1874e+07	3.67534e+07	231720	358686	9.45882e+06	1.27759e+07	3.78324e+07	2.41816e+07		
A0A3B3ITT5	A0A3B3ITT5		RPL29		2.10886e+07	1.76017e+07	2.60075e+07	1.68399e+07	1.64573e+07	1.50031e+07	1.54589e+07	1.72193e+07	1.70155e+07	1.4386e+07	1.30147e+07	7.78159e+06	790562	7.99121e+06	9.33745e+06		1.6061e+07	1.32572e+06	1.03274e+07	2.90549e+06		1.87391e+07		1.26515e+07	317217	83151.9	322143	2.89905e+06	1.1447e+07		282919	116503	1.64521e+07	7.9247e+06	1.14893e+06	2.95234e+06	311026	86074.1	445182	1.05456e+07		71584.9	186199	175265	1.11578e+07	1.95183e+07	1.73948e+07	9.96216e+06			8.81206e+06	8.60691e+06						
A0A3B3IU42	A0A3B3IU42		GEMIN2		808305	816373	857227	875603	880038	711253		793382	672734			1.11948e+06	346945	1.24034e+06	282122	892258	569249	542043	334664			724652	426335	298088	300663	464190			588352	845468	598946	818555	634638	280605	269978		342111	492285	305311	225171		822694	688709	397922	192032	402822					234419	439829						
A0A3B3IUA2	A0A3B3IUA2		SNU13		3.9963e+06	3.76668e+06	3.83342e+06	4.80487e+06	4.73189e+06	4.26516e+06	1.86746e+06	4.16608e+06	3.11566e+06	692312	656782	999805	6.18858e+06	640637	2.47246e+06	1.09425e+07	2.96364e+06	4.12381e+06	2.61615e+06			3.2034e+06	5.9901e+06	2.22423e+06	5.06684e+06	1.22771e+07	4.52476e+06		4.01336e+06	1.1267e+07	3.60487e+06	8.97236e+06	2.73998e+06	2.52499e+06	4.42029e+06		6.74671e+06	9.49109e+06	4.89048e+06	9.10062e+06		8.46575e+06	3.08416e+06	4.07575e+06	1.95974e+06	2.66884e+06	2.34616e+06	9.03952e+06			8.12538e+06	7.65627e+06						
A0A3B3IUB9	A0A3B3IUB9		BIRC6		483609	510223	459384	356488	456856	306389		257998	296878								407726					244637		194588					169207				227502												97261	303033	158082											
A0A3B3IUC1	A0A3B3IUC1		NEDD4						227119			209586			1.94745e+06		167979	2.13727e+06	136486		243269		115888			191131		123962									238000	166842	183061							20833			153196	139739	274553					483984						
